variable_num,value,translation
V3020,B,"Cocaine (all forms except ""Crack"")"
V3020,C,Hashish
V3020,D,Heroin
V3020,E,Marijuana
V3020,F,Morphine
V3020,G,Opium
V3020,H,Other Narcotics: Codeine; Demerol; Dihydromorphinone or Dilaudid; Hydrocodone or Percodan; Methadone; etc. etc.
V3020,I,LSD
V3020,J,PCP
V3020,K,"Other Hallucinogens: BMDA (""White Acid""); DMT; MDA; MDMA; Mescaline or Peyote; Psilocybin; STP; etc."
V3020,L,Amphetamines/Methamphetamines
V3020,M,"Other Stimulants: Adipex, Fastine, and Ionamin (Derivatives of Phentermine); Benzedrine; Didrex; Methylphenidate or
Ritalin; Phenmetrazine or Preludin; Tenuate; etc."
V3020,N,Barbiturates
V3020,O,Other Depressants: Glutethimide or Doriden; Methaqualone or Quaalude; Pentazocine or Talwin; etc.
V3020,P,"Other Drugs: Antidepressants (Elavil, Triavil, Tofranil, etc.); Aromatic Hydrocarbons; Propoxyphene or Darvon; Tranquilizers
(Chlordiazepoxide or Librium, Diazepam or Valium, etc.); etc."
V3020,U,Unknown Type Drug
V3020,X,Over 3 Drug Types
V3023,GM,Gram
V3023,KG,Kilogram
V3023,OZ,Ounce
V3023,LB,Pound
V3023,ML,Milliliter
V3023,LT,Liter
V3023,FO,Fluid Ounce
V3023,GL,Gallon
V3023,DU,"Dosage Unit/Items, (Pills, etc.)"
V3023,NP,Number of Plants
V3023,XX,Not Reported
V4001,04,Victim Segment
V4002,01,AL-Alabama
V4002,02,AZ-Arizona
V4002,03,AR-Arkansas
V4002,04,CA-California
V4002,05,CO-Colorado
V4002,06,CT-Connecticut
V4002,07,DE-Delaware
V4002,08,DC-District of Columbia
V4002,09,FL-Florida
V4002,10,GA-Georgia
V4002,11,ID-Idaho
V4002,12,IL-Illinois
V4002,13,IN-Indiana
V4002,14,IA-Iowa
V4002,15,KS-Kansas
V4002,16,KY-Kentucky
V4002,17,LA-Louisiana
V4002,18,ME-Maine
V4002,19,MD-Maryland
V4002,20,MA-Massachusetts
V4002,21,MI-Michigan
V4002,22,MN-Minnesota
V4002,23,MS-Mississippi
V4002,24,MO-Missouri
V4002,25,MT-Montana
V4002,26,NB-Nebraska
V4002,27,NV-Nevada
V4002,28,NH-New Hampshire
V4002,29,NJ-New Jersey
V4002,30,NM-New Mexico
V4002,31,NY-New York
V4002,32,NC-North Carolina
V4002,33,ND-North Dakota
V4002,34,OH-Ohio
V4002,35,OK-Oklahoma
V4002,36,OR-Oregon
V4002,37,PA-Pennsylvania
V4002,38,RI-Rhode Island
V4002,39,SC-South Carolina
V4002,40,SD-South Dakota
V4002,41,TN-Tennessee
V4002,42,TX-Texas
V4002,43,UT-Utah
V4002,44,VT-Vermont
V4002,45,VA-Virginia
V4002,46,WA-Washington
V4002,47,WV-West Virginia
V4002,48,WI-Wisconsin
V4002,49,WY-Wyoming
V4002,50,AK-Alaska
V4002,51,HI-Hawaii
V4002,52,CZ-Canal Zone
V4002,53,PR-Puerto Rico
V4002,54,AS-American Samoa
V4002,55,GM-Guam
V4002,62,VI-Virgin Islands
V4007,200,Arson
V4007,13A,Aggravated Assault
V4007,13B,Simple Assault
V4007,13C,Intimidation
V4007,510,Bribery
V4007,220,Burglary/Breaking and Entering
V4007,250,Counterfeiting/Forgery
V4007,290,Destruction/Damage/Vandalism of Property
V4007,35A,Drug/Narcotic Violations
V4007,35B,Drug Equipment Violations
V4007,270,Embezzlement
V4007,210,Extortion/Blackmail
V4007,26A,False Pretenses/Swindle/Confidence Game
V4007,26B,Credit Card/Automatic Teller Machine Fraud
V4007,26C,Impersonation
V4007,26D,Welfare Fraud
V4007,26E,Wire Fraud
V4007,39A,Betting/Wagering
V4007,39B,Operating/Promoting/Assisting Gambling
V4007,39C,Gambling Equipment Violations
V4007,39D,Sports Tampering
V4007,09A,Murder/Nonnegligent Manslaughter
V4007,09B,Negligent Manslaughter
V4007,09C,Justifiable Homicide
V4007,64A,Human Trafficking - Commercial Sex Acts
V4007,64B,Human Trafficking - Involuntary Servitude
V4007,100,Kidnaping/Abduction
V4007,23A,Pocket-picking
V4007,23B,Purse-snatching
V4007,23C,Shoplifting
V4007,23D,Theft From Building
V4007,23E,Theft From Coin-Operated Machine or Device
V4007,23F,Theft From Motor Vehicle
V4007,23G,Theft of Motor Vehicle Parts/Accessories
V4007,23H,All Other Larceny
V4007,240,Motor Vehicle Theft
V4007,370,Pornography/Obscene Material
V4007,40A,Prostitution
V4007,40B,Assisting or Promoting Prostitution
V4007,40C,Purchasing Prostitution
V4007,120,Robbery
V4007,11A,Rape
V4007,11B,Sodomy
V4007,11C,Sexual Assault With An Object
V4007,11D,Fondling (Indecent Liberties/Child Molesting)
V4007,36A,Incest
V4007,36B,Statutory Rape
V4007,280,"Stolen Property Offenses (Receiving, Selling, Etc.)"
V4007,520,Weapon Law Violations
V4008,200,Arson
V4008,13A,Aggravated Assault
V4008,13B,Simple Assault
V4008,13C,Intimidation
V4008,510,Bribery
V4008,220,Burglary/Breaking and Entering
V4008,250,Counterfeiting/Forgery
V4008,290,Destruction/Damage/Vandalism of Property
V4008,35A,Drug/Narcotic Violations
V4008,35B,Drug Equipment Violations
V4008,270,Embezzlement
V4008,210,Extortion/Blackmail
V4008,26A,False Pretenses/Swindle/Confidence Game
V4008,26B,Credit Card/Automatic Teller Machine Fraud
V4008,26C,Impersonation
V4008,26D,Welfare Fraud
V4008,26E,Wire Fraud
V4008,39A,Betting/Wagering
V4008,39B,Operating/Promoting/Assisting Gambling
V4008,39C,Gambling Equipment Violations
V4008,39D,Sports Tampering
V4008,09A,Murder/Nonnegligent Manslaughter
V4008,09B,Negligent Manslaughter
V4008,09C,Justifiable Homicide
V4008,64A,Human Trafficking - Commercial Sex Acts
V4008,64B,Human Trafficking - Involuntary Servitude
V4008,100,Kidnaping/Abduction
V4008,23A,Pocket-picking
V4008,23B,Purse-snatching
V4008,23C,Shoplifting
V4008,23D,Theft From Building
V4008,23E,Theft From Coin-Operated Machine or Device
V4008,23F,Theft From Motor Vehicle
V4008,23G,Theft of Motor Vehicle Parts/Accessories
V4008,23H,All Other Larceny
V4008,240,Motor Vehicle Theft
V4008,370,Pornography/Obscene Material
V4008,40A,Prostitution
V4008,40B,Assisting or Promoting Prostitution
V4008,40C,Purchasing Prostitution
V4008,120,Robbery
V4008,11A,Rape
V4008,11B,Sodomy
V4008,11C,Sexual Assault With An Object
V4008,11D,Fondling (Indecent Liberties/Child Molesting)
V4008,36A,Incest
V4008,36B,Statutory Rape
V4008,280,"Stolen Property Offenses (Receiving, Selling, Etc.)"
V4008,520,Weapon Law Violations
V4009,200,Arson
V4009,13A,Aggravated Assault
V4009,13B,Simple Assault
V4009,13C,Intimidation
V4009,510,Bribery
V4009,220,Burglary/Breaking and Entering
V4009,250,Counterfeiting/Forgery
V4009,290,Destruction/Damage/Vandalism of Property
V4009,35A,Drug/Narcotic Violations
V4009,35B,Drug Equipment Violations
V4009,270,Embezzlement
V4009,210,Extortion/Blackmail
V4009,26A,False Pretenses/Swindle/Confidence Game
V4009,26B,Credit Card/Automatic Teller Machine Fraud
V4009,26C,Impersonation
V4009,26D,Welfare Fraud
V4009,26E,Wire Fraud
V4009,39A,Betting/Wagering
V4009,39B,Operating/Promoting/Assisting Gambling
V4009,39C,Gambling Equipment Violations
V4009,39D,Sports Tampering
V4009,09A,Murder/Nonnegligent Manslaughter
V4009,09B,Negligent Manslaughter
V4009,09C,Justifiable Homicide
V4009,64A,Human Trafficking - Commercial Sex Acts
V4009,64B,Human Trafficking - Involuntary Servitude
V4009,100,Kidnaping/Abduction
V4009,23A,Pocket-picking
V4009,23B,Purse-snatching
V4009,23C,Shoplifting
V4009,23D,Theft From Building
V4009,23E,Theft From Coin-Operated Machine or Device
V4009,23F,Theft From Motor Vehicle
V4009,23G,Theft of Motor Vehicle Parts/Accessories
V4009,23H,All Other Larceny
V4009,240,Motor Vehicle Theft
V4009,370,Pornography/Obscene Material
V4009,40A,Prostitution
V4009,40B,Assisting or Promoting Prostitution
V4009,40C,Purchasing Prostitution
V4009,120,Robbery
V4009,11A,Rape
V4009,11B,Sodomy
V4009,11C,Sexual Assault With An Object
V4009,11D,Fondling (Indecent Liberties/Child Molesting)
V4009,36A,Incest
V4009,36B,Statutory Rape
V4009,280,"Stolen Property Offenses (Receiving, Selling, Etc.)"
V4009,520,Weapon Law Violations
V4010,200,Arson
V4010,13A,Aggravated Assault
V4010,13B,Simple Assault
V4010,13C,Intimidation
V4010,510,Bribery
V4010,220,Burglary/Breaking and Entering
V4010,250,Counterfeiting/Forgery
V4010,290,Destruction/Damage/Vandalism of Property
V4010,35A,Drug/Narcotic Violations
V4010,35B,Drug Equipment Violations
V4010,270,Embezzlement
V4010,210,Extortion/Blackmail
V4010,26A,False Pretenses/Swindle/Confidence Game
V4010,26B,Credit Card/Automatic Teller Machine Fraud
V4010,26C,Impersonation
V4010,26D,Welfare Fraud
V4010,26E,Wire Fraud
V4010,39A,Betting/Wagering
V4010,39B,Operating/Promoting/Assisting Gambling
V4010,39C,Gambling Equipment Violations
V4010,39D,Sports Tampering
V4010,09A,Murder/Nonnegligent Manslaughter
V4010,09B,Negligent Manslaughter
V4010,09C,Justifiable Homicide
V4010,64A,Human Trafficking - Commercial Sex Acts
V4010,64B,Human Trafficking - Involuntary Servitude
V4010,100,Kidnaping/Abduction
V4010,23A,Pocket-picking
V4010,23B,Purse-snatching
V4010,23C,Shoplifting
V4010,23D,Theft From Building
V4010,23E,Theft From Coin-Operated Machine or Device
V4010,23F,Theft From Motor Vehicle
V4010,23G,Theft of Motor Vehicle Parts/Accessories
V4010,23H,All Other Larceny
V4010,240,Motor Vehicle Theft
V4010,370,Pornography/Obscene Material
V4010,40A,Prostitution
V4010,40B,Assisting or Promoting Prostitution
V4010,40C,Purchasing Prostitution
V4010,120,Robbery
V4010,11A,Rape
V4010,11B,Sodomy
V4010,11C,Sexual Assault With An Object
V4010,11D,Fondling (Indecent Liberties/Child Molesting)
V4010,36A,Incest
V4010,36B,Statutory Rape
V4010,280,"Stolen Property Offenses (Receiving, Selling, Etc.)"
V4010,520,Weapon Law Violations
V4011,200,Arson
V4011,13A,Aggravated Assault
V4011,13B,Simple Assault
V4011,13C,Intimidation
V4011,510,Bribery
V4011,220,Burglary/Breaking and Entering
V4011,250,Counterfeiting/Forgery
V4011,290,Destruction/Damage/Vandalism of Property
V4011,35A,Drug/Narcotic Violations
V4011,35B,Drug Equipment Violations
V4011,270,Embezzlement
V4011,210,Extortion/Blackmail
V4011,26A,False Pretenses/Swindle/Confidence Game
V4011,26B,Credit Card/Automatic Teller Machine Fraud
V4011,26C,Impersonation
V4011,26D,Welfare Fraud
V4011,26E,Wire Fraud
V4011,39A,Betting/Wagering
V4011,39B,Operating/Promoting/Assisting Gambling
V4011,39C,Gambling Equipment Violations
V4011,39D,Sports Tampering
V4011,09A,Murder/Nonnegligent Manslaughter
V4011,09B,Negligent Manslaughter
V4011,09C,Justifiable Homicide
V4011,64A,Human Trafficking - Commercial Sex Acts
V4011,64B,Human Trafficking - Involuntary Servitude
V4011,100,Kidnaping/Abduction
V4011,23A,Pocket-picking
V4011,23B,Purse-snatching
V4011,23C,Shoplifting
V4011,23D,Theft From Building
V4011,23E,Theft From Coin-Operated Machine or Device
V4011,23F,Theft From Motor Vehicle
V4011,23G,Theft of Motor Vehicle Parts/Accessories
V4011,23H,All Other Larceny
V4011,240,Motor Vehicle Theft
V4011,370,Pornography/Obscene Material
V4011,40A,Prostitution
V4011,40B,Assisting or Promoting Prostitution
V4011,40C,Purchasing Prostitution
V4011,120,Robbery
V4011,11A,Rape
V4011,11B,Sodomy
V4011,11C,Sexual Assault With An Object
V4011,11D,Fondling (Indecent Liberties/Child Molesting)
V4011,36A,Incest
V4011,36B,Statutory Rape
V4011,280,"Stolen Property Offenses (Receiving, Selling, Etc.)"
V4011,520,Weapon Law Violations
V4012,200,Arson
V4012,13A,Aggravated Assault
V4012,13B,Simple Assault
V4012,13C,Intimidation
V4012,510,Bribery
V4012,220,Burglary/Breaking and Entering
V4012,250,Counterfeiting/Forgery
V4012,290,Destruction/Damage/Vandalism of Property
V4012,35A,Drug/Narcotic Violations
V4012,35B,Drug Equipment Violations
V4012,270,Embezzlement
V4012,210,Extortion/Blackmail
V4012,26A,False Pretenses/Swindle/Confidence Game
V4012,26B,Credit Card/Automatic Teller Machine Fraud
V4012,26C,Impersonation
V4012,26D,Welfare Fraud
V4012,26E,Wire Fraud
V4012,39A,Betting/Wagering
V4012,39B,Operating/Promoting/Assisting Gambling
V4012,39C,Gambling Equipment Violations
V4012,39D,Sports Tampering
V4012,09A,Murder/Nonnegligent Manslaughter
V4012,09B,Negligent Manslaughter
V4012,09C,Justifiable Homicide
V4012,64A,Human Trafficking - Commercial Sex Acts
V4012,64B,Human Trafficking - Involuntary Servitude
V4012,100,Kidnaping/Abduction
V4012,23A,Pocket-picking
V4012,23B,Purse-snatching
V4012,23C,Shoplifting
V4012,23D,Theft From Building
V4012,23E,Theft From Coin-Operated Machine or Device
V4012,23F,Theft From Motor Vehicle
V4012,23G,Theft of Motor Vehicle Parts/Accessories
V4012,23H,All Other Larceny
V4012,240,Motor Vehicle Theft
V4012,370,Pornography/Obscene Material
V4012,40A,Prostitution
V4012,40B,Assisting or Promoting Prostitution
V4012,40C,Purchasing Prostitution
V4012,120,Robbery
V4012,11A,Rape
V4012,11B,Sodomy
V4012,11C,Sexual Assault With An Object
V4012,11D,Fondling (Indecent Liberties/Child Molesting)
V4012,36A,Incest
V4012,36B,Statutory Rape
V4012,280,"Stolen Property Offenses (Receiving, Selling, Etc.)"
V4012,520,Weapon Law Violations
V4013,200,Arson
V4013,13A,Aggravated Assault
V4013,13B,Simple Assault
V4013,13C,Intimidation
V4013,510,Bribery
V4013,220,Burglary/Breaking and Entering
V4013,250,Counterfeiting/Forgery
V4013,290,Destruction/Damage/Vandalism of Property
V4013,35A,Drug/Narcotic Violations
V4013,35B,Drug Equipment Violations
V4013,270,Embezzlement
V4013,210,Extortion/Blackmail
V4013,26A,False Pretenses/Swindle/Confidence Game
V4013,26B,Credit Card/Automatic Teller Machine Fraud
V4013,26C,Impersonation
V4013,26D,Welfare Fraud
V4013,26E,Wire Fraud
V4013,39A,Betting/Wagering
V4013,39B,Operating/Promoting/Assisting Gambling
V4013,39C,Gambling Equipment Violations
V4013,39D,Sports Tampering
V4013,09A,Murder/Nonnegligent Manslaughter
V4013,09B,Negligent Manslaughter
V4013,09C,Justifiable Homicide
V4013,64A,Human Trafficking - Commercial Sex Acts
V4013,64B,Human Trafficking - Involuntary Servitude
V4013,100,Kidnaping/Abduction
V4013,23A,Pocket-picking
V4013,23B,Purse-snatching
V4013,23C,Shoplifting
V4013,23D,Theft From Building
V4013,23E,Theft From Coin-Operated Machine or Device
V4013,23F,Theft From Motor Vehicle
V4013,23G,Theft of Motor Vehicle Parts/Accessories
V4013,23H,All Other Larceny
V4013,240,Motor Vehicle Theft
V4013,370,Pornography/Obscene Material
V4013,40A,Prostitution
V4013,40B,Assisting or Promoting Prostitution
V4013,40C,Purchasing Prostitution
V4013,120,Robbery
V4013,11A,Rape
V4013,11B,Sodomy
V4013,11C,Sexual Assault With An Object
V4013,11D,Fondling (Indecent Liberties/Child Molesting)
V4013,36A,Incest
V4013,36B,Statutory Rape
V4013,280,"Stolen Property Offenses (Receiving, Selling, Etc.)"
V4013,520,Weapon Law Violations
V4014,200,Arson
V4014,13A,Aggravated Assault
V4014,13B,Simple Assault
V4014,13C,Intimidation
V4014,510,Bribery
V4014,220,Burglary/Breaking and Entering
V4014,250,Counterfeiting/Forgery
V4014,290,Destruction/Damage/Vandalism of Property
V4014,35A,Drug/Narcotic Violations
V4014,35B,Drug Equipment Violations
V4014,270,Embezzlement
V4014,210,Extortion/Blackmail
V4014,26A,False Pretenses/Swindle/Confidence Game
V4014,26B,Credit Card/Automatic Teller Machine Fraud
V4014,26C,Impersonation
V4014,26D,Welfare Fraud
V4014,26E,Wire Fraud
V4014,39A,Betting/Wagering
V4014,39B,Operating/Promoting/Assisting Gambling
V4014,39C,Gambling Equipment Violations
V4014,39D,Sports Tampering
V4014,09A,Murder/Nonnegligent Manslaughter
V4014,09B,Negligent Manslaughter
V4014,09C,Justifiable Homicide
V4014,64A,Human Trafficking - Commercial Sex Acts
V4014,64B,Human Trafficking - Involuntary Servitude
V4014,100,Kidnaping/Abduction
V4014,23A,Pocket-picking
V4014,23B,Purse-snatching
V4014,23C,Shoplifting
V4014,23D,Theft From Building
V4014,23E,Theft From Coin-Operated Machine or Device
V4014,23F,Theft From Motor Vehicle
V4014,23G,Theft of Motor Vehicle Parts/Accessories
V4014,23H,All Other Larceny
V4014,240,Motor Vehicle Theft
V4014,370,Pornography/Obscene Material
V4014,40A,Prostitution
V4014,40B,Assisting or Promoting Prostitution
V4014,40C,Purchasing Prostitution
V4014,120,Robbery
V4014,11A,Rape
V4014,11B,Sodomy
V4014,11C,Sexual Assault With An Object
V4014,11D,Fondling (Indecent Liberties/Child Molesting)
V4014,36A,Incest
V4014,36B,Statutory Rape
V4014,280,"Stolen Property Offenses (Receiving, Selling, Etc.)"
V4014,520,Weapon Law Violations
V4015,200,Arson
V4015,13A,Aggravated Assault
V4015,13B,Simple Assault
V4015,13C,Intimidation
V4015,510,Bribery
V4015,220,Burglary/Breaking and Entering
V4015,250,Counterfeiting/Forgery
V4015,290,Destruction/Damage/Vandalism of Property
V4015,35A,Drug/Narcotic Violations
V4015,35B,Drug Equipment Violations
V4015,270,Embezzlement
V4015,210,Extortion/Blackmail
V4015,26A,False Pretenses/Swindle/Confidence Game
V4015,26B,Credit Card/Automatic Teller Machine Fraud
V4015,26C,Impersonation
V4015,26D,Welfare Fraud
V4015,26E,Wire Fraud
V4015,39A,Betting/Wagering
V4015,39B,Operating/Promoting/Assisting Gambling
V4015,39C,Gambling Equipment Violations
V4015,39D,Sports Tampering
V4015,09A,Murder/Nonnegligent Manslaughter
V4015,09B,Negligent Manslaughter
V4015,09C,Justifiable Homicide
V4015,64A,Human Trafficking - Commercial Sex Acts
V4015,64B,Human Trafficking - Involuntary Servitude
V4015,100,Kidnaping/Abduction
V4015,23A,Pocket-picking
V4015,23B,Purse-snatching
V4015,23C,Shoplifting
V4015,23D,Theft From Building
V4015,23E,Theft From Coin-Operated Machine or Device
V4015,23F,Theft From Motor Vehicle
V4015,23G,Theft of Motor Vehicle Parts/Accessories
V4015,23H,All Other Larceny
V4015,240,Motor Vehicle Theft
V4015,370,Pornography/Obscene Material
V4015,40A,Prostitution
V4015,40B,Assisting or Promoting Prostitution
V4015,40C,Purchasing Prostitution
V4015,120,Robbery
V4015,11A,Rape
V4015,11B,Sodomy
V4015,11C,Sexual Assault With An Object
V4015,11D,Fondling (Indecent Liberties/Child Molesting)
V4015,36A,Incest
V4015,36B,Statutory Rape
V4015,280,"Stolen Property Offenses (Receiving, Selling, Etc.)"
V4015,520,Weapon Law Violations
V4016,200,Arson
V4016,13A,Aggravated Assault
V4016,13B,Simple Assault
V4016,13C,Intimidation
V4016,510,Bribery
V4016,220,Burglary/Breaking and Entering
V4016,250,Counterfeiting/Forgery
V4016,290,Destruction/Damage/Vandalism of Property
V4016,35A,Drug/Narcotic Violations
V4016,35B,Drug Equipment Violations
V4016,270,Embezzlement
V4016,210,Extortion/Blackmail
V4016,26A,False Pretenses/Swindle/Confidence Game
V4016,26B,Credit Card/Automatic Teller Machine Fraud
V4016,26C,Impersonation
V4016,26D,Welfare Fraud
V4016,26E,Wire Fraud
V4016,39A,Betting/Wagering
V4016,39B,Operating/Promoting/Assisting Gambling
V4016,39C,Gambling Equipment Violations
V4016,39D,Sports Tampering
V4016,09A,Murder/Nonnegligent Manslaughter
V4016,09B,Negligent Manslaughter
V4016,09C,Justifiable Homicide
V4016,64A,Human Trafficking - Commercial Sex Acts
V4016,64B,Human Trafficking - Involuntary Servitude
V4016,100,Kidnaping/Abduction
V4016,23A,Pocket-picking
V4016,23B,Purse-snatching
V4016,23C,Shoplifting
V4016,23D,Theft From Building
V4016,23E,Theft From Coin-Operated Machine or Device
V4016,23F,Theft From Motor Vehicle
V4016,23G,Theft of Motor Vehicle Parts/Accessories
V4016,23H,All Other Larceny
V4016,240,Motor Vehicle Theft
V4016,370,Pornography/Obscene Material
V4016,40A,Prostitution
V4016,40B,Assisting or Promoting Prostitution
V4016,40C,Purchasing Prostitution
V4016,120,Robbery
V4016,11A,Rape
V4016,11B,Sodomy
V4016,11C,Sexual Assault With An Object
V4016,11D,Fondling (Indecent Liberties/Child Molesting)
V4016,36A,Incest
V4016,36B,Statutory Rape
V4016,280,"Stolen Property Offenses (Receiving, Selling, Etc.)"
V4016,520,Weapon Law Violations
V4017,I,Individual
V4017,B,Business
V4017,F,Financial Institution
V4017,G,Government
V4017,L,Law Enforcement Officer
V4017,R,Religious Organization
V4017,S,Society/Public
V4017,O,Other
V4017,U,Unknown
V4017A,1,"Respond disturbance call (Family quarrels, person with firearm, etc.)"
V4017A,2,Burglaries in progress or pursuing burglary suspects
V4017A,3,Robberies in progress or pursuing robbery suspects
V4017A,4,Attempting other arrests
V4017A,5,"Civil disorder (Riot, mass disobedience)"
V4017A,6,"Handling, transporting, custody of prisoners"
V4017A,7,Investigating suspicious persons or circumstances
V4017A,8,Ambush-no warning
V4017A,9,Mentally deranged assailant
V4017A,10,Traffic pursuits and stops
V4017A,11,All other
V4017B,F,Two-officer vehicle
V4017B,G,One-officer vehicle (alone)
V4017B,H,One-officer vehicle (assisted)
V4017B,I,Detective or special assignment (alone)
V4017B,J,Detective or special assignment (assisted)
V4017B,K,Other (alone)
V4017B,L,Other (assisted)
V4018,NN,Under 24 Hours (neonate)
V4018,NB,1-6 Days Old
V4018,BB,7-364 Days Old
V4018,00,Unknown
V4018,99,Over 98 Years Old
V4019,M,Male
V4019,F,Female
V4019,U,Unknown
V4020,W,White
V4020,B,Black or African American
V4020,I,American Indian or Alaska Native
V4020,A,Asian
V4020,P,Native Hawaiian or Other Pacific Islander
V4020,U,Unknown
V4021,H,Hispanic or Latino Origin
V4021,N,Not of Hispanic or Latino Origin
V4021,U,Unknown
V4022,R,Resident
V4022,N,Nonresident
V4022,U,Unknown
V4023,01,Argument
V4023,02,Assault on Law Enforcement Officer(s)
V4023,03,Drug Dealing
V4023,04,Gangland
V4023,05,Juvenile Gang
V4023,06,Lovers' Quarrel
V4023,07,Mercy Killing (Not applicable to Aggravated Assault)
V4023,08,Other Felony Involved
V4023,09,Other Circumstances
V4023,10,Unknown Circumstances
V4023,30,Child Playing With Weapon
V4023,31,Gun-Cleaning Accident
V4023,32,Hunting Accident
V4023,33,Other Negligent Weapon Handling
V4023,34,Other Negligent Killings
V4023,20,Criminal Killed by Private Citizen
V4023,21,Criminal Killed by Police Officer
V4024,01,Argument
V4024,02,Assault on Law Enforcement Officer(s)
V4024,03,Drug Dealing
V4024,04,Gangland
V4024,05,Juvenile Gang
V4024,06,Lovers' Quarrel
V4024,07,Mercy Killing (Not applicable to Aggravated Assault)
V4024,08,Other Felony Involved
V4024,09,Other Circumstances
V4024,10,Unknown Circumstances
V4024,30,Child Playing With Weapon
V4024,31,Gun-Cleaning Accident
V4024,32,Hunting Accident
V4024,33,Other Negligent Weapon Handling
V4024,34,Other Negligent Killings
V4024,20,Criminal Killed by Private Citizen
V4024,21,Criminal Killed by Police Officer
V4025,A,Criminal Attacked Police Officer and That Officer Killed Criminal
V4025,B,Criminal Attacked Fellow Police Officer and Criminal Killed by Another Police Officer
V4025,C,Criminal Attacked a Civilian
V4025,D,Criminal Attempted Flight From a Crime
V4025,E,Criminal Killed In Commission of a Crime
V4025,F,Criminal Resisted Arrest
V4025,G,Unable to Determine/Not Enough Information
V4026,N,None
V4026,M,Apparent Minor Injury
V4026,B,Apparent Broken Bones
V4026,O,Other Major Injury
V4026,I,Possible Internal Injury
V4026,T,Loss of Teeth
V4026,L,Severe Laceration
V4026,U,Unconsciousness
V4027,N,None
V4027,M,Apparent Minor Injury
V4027,B,Apparent Broken Bones
V4027,O,Other Major Injury
V4027,I,Possible Internal Injury
V4027,T,Loss of Teeth
V4027,L,Severe Laceration
V4027,U,Unconsciousness
V4028,N,None
V4028,M,Apparent Minor Injury
V4028,B,Apparent Broken Bones
V4028,O,Other Major Injury
V4028,I,Possible Internal Injury
V4028,T,Loss of Teeth
V4028,L,Severe Laceration
V4028,U,Unconsciousness
V4029,N,None
V4029,M,Apparent Minor Injury
V4029,B,Apparent Broken Bones
V4029,O,Other Major Injury
V4029,I,Possible Internal Injury
V4029,T,Loss of Teeth
V4029,L,Severe Laceration
V4029,U,Unconsciousness
V4030,N,None
V4030,M,Apparent Minor Injury
V4030,B,Apparent Broken Bones
V4030,O,Other Major Injury
V4030,I,Possible Internal Injury
V4030,T,Loss of Teeth
V4030,L,Severe Laceration
V4030,U,Unconsciousness
V4032,SE,Victim was Spouse
V4032,CS,Victim was Common-Law Spouse
V4032,PA,Victim was Parent
V4032,SB,Victim was Sibling
V4032,CH,Victim was Child
V4032,GP,Victim was Grandparent
V4032,GC,Victim was Grandchild
V4032,IL,Victim was In-Law
V4032,SP,Victim was Stepparent
V4032,SC,Victim was Stepchild
V4032,SS,Victim was Stepsibling
V4032,OF,Victim was Other Family Member
V4032,VO,Victim was Offender
V4032,AQ,Victim was Acquaintance
V4032,FR,Victim was Friend
V4032,NE,Victim was Neighbor
V4032,BE,Victim was Babysittee (the baby)
V4032,BG,Victim was Boyfriend/Girlfriend
V4032,CF,Victim was Child of Boyfriend/Girlfriend
V4032,HR,Homosexual Relationship
V4032,XS,Victim was Ex-Spouse
V4032,EE,Victim was Employee
V4032,ER,Victim was Employer
V4032,OK,Victim was Otherwise Known
V4032,RU,Relationship Unknown
V4032,ST,Victim was Stranger
V4034,SE,Victim was Spouse
V4034,CS,Victim was Common-Law Spouse
V4034,PA,Victim was Parent
V4034,SB,Victim was Sibling
V4034,CH,Victim was Child
V4034,GP,Victim was Grandparent
V4034,GC,Victim was Grandchild
V4034,IL,Victim was In-Law
V4034,SP,Victim was Stepparent
V4034,SC,Victim was Stepchild
V4034,SS,Victim was Stepsibling
V4034,OF,Victim was Other Family Member
V4034,VO,Victim was Offender
V4034,AQ,Victim was Acquaintance
V4034,FR,Victim was Friend
V4034,NE,Victim was Neighbor
V4034,BE,Victim was Babysittee (the baby)
V4034,BG,Victim was Boyfriend/Girlfriend
V4034,CF,Victim was Child of Boyfriend/Girlfriend
V4034,HR,Homosexual Relationship
V4034,XS,Victim was Ex-Spouse
V4034,EE,Victim was Employee
V4034,ER,Victim was Employer
V4034,OK,Victim was Otherwise Known
V4034,RU,Relationship Unknown
V4034,ST,Victim was Stranger
V4036,SE,Victim was Spouse
V4036,CS,Victim was Common-Law Spouse
V4036,PA,Victim was Parent
V4036,SB,Victim was Sibling
V4036,CH,Victim was Child
V4036,GP,Victim was Grandparent
V4036,GC,Victim was Grandchild
V4036,IL,Victim was In-Law
V4036,SP,Victim was Stepparent
V4036,SC,Victim was Stepchild
V4036,SS,Victim was Stepsibling
V4036,OF,Victim was Other Family Member
V4036,VO,Victim was Offender
V4036,AQ,Victim was Acquaintance
V4036,FR,Victim was Friend
V4036,NE,Victim was Neighbor
V4036,BE,Victim was Babysittee (the baby)
V4036,BG,Victim was Boyfriend/Girlfriend
V4036,CF,Victim was Child of Boyfriend/Girlfriend
V4036,HR,Homosexual Relationship
V4036,XS,Victim was Ex-Spouse
V4036,EE,Victim was Employee
V4036,ER,Victim was Employer
V4036,OK,Victim was Otherwise Known
V4036,RU,Relationship Unknown
V4036,ST,Victim was Stranger
V4038,SE,Victim was Spouse
V4038,CS,Victim was Common-Law Spouse
V4038,PA,Victim was Parent
